temp,perceptual_temp,rl_temp,ff1,ff2,ffp1,ffp2,trial,model,agent,s,a,r,optimal_option,optimal_ev,optimal_ff,params,destroy,cumulative_reward
,5.0,5.0,1.0,-0.3,0.8807970779778823,0.35434369377420455,0,balanced,1,0,0,49.97000523877733,True,True,True,"{'β': 1.211405754140913, '$\\delta$': 67.36778737873169}",True,49.97000523877733
,5.0,5.0,-1.0,-0.1,0.11920292202211755,0.45016600268752216,1,balanced,1,0,0,0.0,True,False,False,"{'β': 1.7376616846818869, '$\\delta$': 67.36778737873169}",False,49.97000523877733
,5.0,5.0,-0.6,-0.8,0.23147521650098238,0.16798161486607552,2,balanced,1,0,0,66.14721582733003,True,True,True,"{'β': 1.0098205092633394, '$\\delta$': 88.8789112678091}",True,116.11722106610736
,5.0,5.0,-0.1,0.8,0.45016600268752216,0.8320183851339245,3,balanced,1,0,0,0.0,True,False,False,"{'β': 1.0824846224727704, '$\\delta$': 88.8789112678091}",False,116.11722106610736
,5.0,5.0,0.3,0.6,0.6456563062257954,0.7685247834990175,4,balanced,1,0,0,69.43379552964097,True,True,False,"{'β': 1.27111363517566, '$\\delta$': 93.76584151993114}",True,185.55101659574834
,5.0,5.0,0.8,0.8,0.8320183851339245,0.8320183851339245,5,balanced,1,0,0,69.93118673038282,True,True,True,"{'β': 1.5753329268078966, '$\\delta$': 95.62290614339445}",True,255.48220332613116
,5.0,5.0,-0.6,-0.8,0.23147521650098238,0.16798161486607552,6,balanced,1,0,0,0.0,True,True,True,"{'β': 1.798542692414623, '$\\delta$': 95.62290614339445}",False,255.48220332613116
,5.0,5.0,1.0,1.0,0.8807970779778823,0.8807970779778823,7,balanced,1,0,0,71.99319141518656,True,True,True,"{'β': 2.001583332575654, '$\\delta$': 96.59357629348236}",True,327.4753947413177
,5.0,5.0,-1.0,-0.8,0.11920292202211755,0.16798161486607552,8,balanced,1,0,0,0.0,True,True,False,"{'β': 2.1613587223650956, '$\\delta$': 96.59357629348236}",False,327.4753947413177
,5.0,5.0,0.1,0.1,0.549833997312478,0.549833997312478,9,balanced,1,0,0,72.43929111764409,True,True,True,"{'β': 2.2138032686617994, '$\\delta$': 97.17383755645696}",True,399.9146858589618
,5.0,5.0,0.6,-1.0,0.7685247834990175,0.11920292202211755,10,balanced,1,0,0,0.0,True,True,True,"{'β': 1.72609075365538, '$\\delta$': 97.17383755645696}",False,399.9146858589618
,5.0,5.0,-1.0,0.6,0.11920292202211755,0.7685247834990175,11,balanced,1,0,0,0.0,True,False,False,"{'β': 1.869880036417784, '$\\delta$': 97.17383755645696}",False,399.9146858589618
,5.0,5.0,0.8,0.3,0.8320183851339245,0.6456563062257954,12,balanced,1,0,0,84.23058658117901,True,True,True,"{'β': 1.9966966440108926, '$\\delta$': 97.60605354934961}",True,484.1452724401408
,5.0,5.0,0.1,0.3,0.549833997312478,0.6456563062257954,13,balanced,1,0,0,0.0,True,True,False,"{'β': 1.9491759958519266, '$\\delta$': 97.60605354934961}",False,484.1452724401408
,5.0,5.0,0.6,-0.3,0.7685247834990175,0.35434369377420455,14,balanced,1,0,0,56.055629401944735,True,True,True,"{'β': 2.064642557692859, '$\\delta$': 97.81005567893783}",True,540.2009018420855
,5.0,5.0,0.1,-1.0,0.549833997312478,0.11920292202211755,15,balanced,1,0,0,0.0,True,True,True,"{'β': 2.0182298398221574, '$\\delta$': 97.81005567893783}",False,540.2009018420855
,5.0,5.0,-0.3,-0.3,0.35434369377420455,0.35434369377420455,16,balanced,1,0,0,73.99559727299285,True,True,True,"{'β': 1.863300831239256, '$\\delta$': 98.0166084792675}",True,614.1964991150784
,5.0,5.0,0.8,-0.8,0.8320183851339245,0.16798161486607552,17,balanced,1,0,0,33.37198811195311,True,True,True,"{'β': 1.9728474089886328, '$\\delta$': 98.09193121147966}",True,647.5684872270315
,5.0,5.0,0.6,0.8,0.7685247834990175,0.8320183851339245,18,balanced,1,0,0,45.846634560569356,True,True,False,"{'β': 2.073736134966923, '$\\delta$': 98.18265600925706}",True,693.4151217876008
,5.0,5.0,-0.8,0.1,0.16798161486607552,0.549833997312478,19,balanced,1,0,0,0.0,True,False,False,"{'β': 2.167444489960688, '$\\delta$': 98.18265600925706}",False,693.4151217876008
,5.0,5.0,-0.6,-1.0,0.23147521650098238,0.11920292202211755,20,balanced,1,0,0,0.0,True,True,True,"{'β': 2.2577488408708857, '$\\delta$': 98.18265600925706}",False,693.4151217876008
,5.0,5.0,0.8,0.8,0.8320183851339245,0.8320183851339245,21,balanced,1,0,0,66.38577232312943,True,True,True,"{'β': 2.339237308979239, '$\\delta$': 98.29276269608552}",True,759.8008941107303
,5.0,5.0,-0.1,-0.6,0.45016600268752216,0.23147521650098238,22,balanced,1,0,0,0.0,True,True,True,"{'β': 2.3706498172246415, '$\\delta$': 98.29276269608552}",False,759.8008941107303
,5.0,5.0,-0.8,-1.0,0.16798161486607552,0.11920292202211755,23,balanced,1,0,0,0.0,True,True,True,"{'β': 2.4459414021232972, '$\\delta$': 98.29276269608552}",False,759.8008941107303
,5.0,5.0,-0.6,0.1,0.23147521650098238,0.549833997312478,24,balanced,1,0,0,0.0,True,False,False,"{'β': 2.523380312626716, '$\\delta$': 98.29276269608552}",False,759.8008941107303
,5.0,5.0,-0.1,-0.1,0.45016600268752216,0.45016600268752216,25,balanced,1,1,0,38.851798096534196,True,True,True,"{'β': 2.4836517534702005, '$\\delta$': 57.7329131500209}",True,798.6526922072644
,5.0,5.0,0.3,0.1,0.6456563062257954,0.549833997312478,26,balanced,1,1,0,74.24216673163086,True,True,True,"{'β': 2.5492928375266883, '$\\delta$': 88.48683850173208}",True,872.8948589388953
,5.0,5.0,0.8,1.0,0.8320183851339245,0.8807970779778823,27,balanced,1,1,0,79.24803049159428,True,True,False,"{'β': 2.6147555397305147, '$\\delta$': 94.02097388903562}",True,952.1428894304895
,5.0,5.0,-0.1,-0.6,0.45016600268752216,0.23147521650098238,28,balanced,1,1,0,38.71610669125005,True,True,True,"{'β': 2.575611683337244, '$\\delta$': 95.1225892459083}",True,990.8589961217396
,5.0,5.0,0.1,-0.3,0.549833997312478,0.35434369377420455,29,balanced,1,1,0,84.02372841169228,True,True,True,"{'β': 2.6052534940762424, '$\\delta$': 96.46205451413591}",True,1074.8827245334319
