,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,block,0,1,True,True,0.07820618870057668,4.0,two-sided,0.9414199770082754,1.0,bonf,0.398,0.019151038741659965
1,block,0,2,True,True,2.2003653253520925,4.0,two-sided,0.09261494236219503,1.0,bonf,1.436,0.2801060514318078
2,block,0,3,True,True,1.8516824681627684,4.0,two-sided,0.13772074480718882,1.0,bonf,1.092,0.4200965778360297
3,block,0,4,True,True,0.9790508823255407,4.0,two-sided,0.382989412588963,1.0,bonf,0.569,0.13825335589969598
4,block,0,5,True,True,0.08800246410349252,4.0,two-sided,0.9341044248326209,1.0,bonf,0.399,0.019151038741660607
5,block,0,6,True,True,0.9756660456275814,4.0,two-sided,0.3844756547850172,1.0,bonf,0.567,0.33619609165827063
6,block,0,7,True,True,0.8172442885761025,4.0,two-sided,0.4596694377019121,1.0,bonf,0.514,0.24397773135905698
7,block,0,8,True,True,0.671871013147024,4.0,two-sided,0.5384762019874351,1.0,bonf,0.475,0.1200785400497126
8,block,0,9,True,True,1.2796068801414668,4.0,two-sided,0.269863276717895,1.0,bonf,0.701,0.15865815003761108
9,block,0,10,True,True,3.2484331354590186,4.0,two-sided,0.03142224274858153,1.0,bonf,3.091,0.5812332921836924
10,block,0,11,True,True,4.250228128090475,4.0,two-sided,0.013155678221870757,1.0,bonf,5.782,0.7849239083676367
11,block,0,12,True,True,2.5778767891125534,4.0,two-sided,0.061465066990063676,1.0,bonf,1.916,0.8667536413146772
12,block,0,13,True,True,1.5403080924308103,4.0,two-sided,0.19833020871695345,1.0,bonf,0.855,0.5667711591644302
13,block,0,14,True,True,3.1739425216383985,4.0,two-sided,0.03373018271283385,1.0,bonf,2.938,1.1770906190093895
14,block,0,15,True,True,2.0515194204225717,4.0,two-sided,0.1095012331823163,1.0,bonf,1.278,1.0276950289898854
15,block,1,2,True,True,0.9097176522946845,4.0,two-sided,0.41443008250091623,1.0,bonf,0.544,0.26683058689713496
16,block,1,3,True,True,1.085965896710899,4.0,two-sided,0.3385603031587135,1.0,bonf,0.611,0.4101669792448323
